PerformanceDate,E-EM,E-GSC,E-CLC,E-US,E-CSC,E-IE,D-CB,A-CMM
2023-11-29,0.003765829,0.003053526,0.004169765,-0.000410295,0.007010312,0.003148902,0.004969144,0.000138260
2023-11-30,0.000672983,-0.007950089,0.003230213,0.006730461,-0.001331166,-0.000821516,-0.002024539,0.000137310
2023-12-01,-0.005653635,0.004477605,0.010851585,0.002360580,0.008693740,-0.002352637,0.009891422,0.000137440
2023-12-04,-0.003541914,0.000318561,-0.001098633,-0.000574702,-0.002286691,0.001028014,-0.001244667,0.000415350
2023-12-05,-0.005598405,0.004826030,-0.002139893,-0.003535855,-0.001871125,0.001538582,0.006856288,0.000137740
2023-12-06,0.001561489,-0.000757617,0.000976529,-0.002168054,0.002879047,0.002184207,0.003395549,0.000137650
2023-12-07,0.000393146,0.005089972,0.002452955,0.005769785,0.004733594,0.002473026,-0.000000846,0.000137370
2023-12-08,0.007305974,0.003557794,0.001662160,-0.001030186,0.003363917,0.005601632,-0.004400283,0.000137590
2023-12-11,0.002162475,0.002338755,0.001339228,0.006581967,-0.002523830,0.000595912,-0.002351447,0.000412440
2023-12-12,0.005246250,0.005413279,-0.000819473,0.008120786,-0.003116335,0.004526453,0.000770327,0.000137740
2023-12-13,-0.000970405,-0.001623020,0.014897126,0.008001878,0.015844638,-0.000376939,0.012168025,0.000137430
2023-12-14,0.008381627,0.016511315,0.002388091,-0.019320057,0.006639665,0.007114455,0.008129942,0.000137290
2023-12-15,-0.005168303,-0.010315281,-0.010153254,-0.008143567,-0.008485548,-0.009408932,0.002297015,0.000142550
2023-12-18,0.001830332,-0.001493385,0.006075757,0.008153372,0.001410354,0.002461579,-0.003418338,0.000412230
2023-12-19,-0.002115043,0.010010951,0.009418315,-0.001572385,0.009216021,0.003468041,0.001922111,0.000136230
2023-12-20,-0.002031347,-0.000032383,-0.009040672,-0.012311893,-0.006131207,-0.000523283,0.004344972,0.000137760
2023-12-21,0.000918498,-0.000640408,0.007922625,0.007339603,0.008423037,-0.000944760,-0.004147938,0.000137400
2023-12-22,-0.007532741,0.002629205,0.005509429,-0.001059145,0.005026407,0.000460761,-0.006861615,0.000137380
2023-12-27,0.005232940,0.005536245,0.006575794,-0.001505887,0.007593632,0.007096007,0.009934719,0.000689050
2023-12-28,0.000741020,-0.002109307,-0.001576236,0.000394362,0.000112659,-0.000447225,-0.002900702,0.000129170
2023-12-29,-0.002159465,-0.003989637,0.002972236,-0.000240474,0.001551329,-0.002036864,0.001034530,0.000413440
2024-01-02,0.008687032,-0.002214473,-0.004381816,0.007357787,-0.009924879,-0.000020531,-0.005782526,0.000273340
2024-01-03,-0.004507538,-0.016135625,-0.003021495,-0.007864919,-0.005165672,-0.009546092,0.001574843,0.000136800
2024-01-04,-0.002178512,0.009669468,0.002141760,0.001194812,0.002343791,0.011542308,-0.005410034,0.000136240
2024-01-05,-0.002984056,-0.007263713,0.001344159,-0.004657539,0.003711802,-0.004033004,-0.002460870,0.000136480
2024-01-08,0.006418241,0.014579358,0.005788465,0.014876079,0.007139642,0.006505306,0.003353764,0.000431510
2024-01-09,-0.001739232,-0.000664612,-0.004441026,-0.000604480,-0.002494014,-0.002271793,0.000571947,0.000136020
2024-01-10,-0.003292715,0.001337894,0.001368920,0.003457438,0.008330192,0.001659831,-0.002932711,0.000147200
2024-01-11,0.006227134,-0.003615725,-0.001997141,0.003245909,-0.001736005,0.002825785,0.001450299,0.000136220
2024-01-12,-0.002159954,0.004893542,0.000417011,0.000922545,0.003850495,0.007923120,0.001269389,0.000136400
2024-01-15,0.005364967,-0.004381224,0.003247283,0.003699532,0.000242571,-0.000687956,0.000407759,0.000409270
2024-01-16,-0.008163923,-0.005295856,-0.001334148,0.001047279,-0.003446304,-0.006874096,-0.009105934,0.000141330
2024-01-17,-0.015999484,-0.003289899,-0.008851544,0.000078154,-0.003138236,-0.009449113,-0.005319950,0.000136760
2024-01-18,0.002446980,-0.001423776,0.006773106,0.007081376,0.005744909,0.003301045,-0.002893487,0.000135720
2024-01-19,0.005159752,-0.002406394,0.006499779,0.001561593,0.006729867,0.000587858,-0.000397835,0.000136170
2024-01-22,-0.001159097,0.010024065,0.002781778,0.001479671,0.006200961,0.003794616,0.003517810,0.000410170
2024-01-23,0.003734845,0.000994617,0.003507580,0.007658434,0.006559217,-0.006623002,-0.001059169,0.000136270
2024-01-24,0.006861435,0.009118441,0.000222948,-0.003181922,0.000162914,0.010036306,-0.001324284,0.000136440
2024-01-25,0.004914972,-0.002192568,0.002762507,0.004809826,0.003354287,-0.001793628,0.001285059,0.000136490
2024-01-26,-0.004845511,0.000194578,0.000063753,-0.003260481,0.009371833,0.002101464,-0.002284947,0.000136290
2024-01-29,0.001259019,-0.001321577,0.003098569,0.006276611,-0.002484956,-0.001376655,0.005493101,0.000408420
2024-01-30,-0.008771340,0.002349958,0.001038703,0.002380975,0.002205920,0.000246222,0.003559246,0.000136270
2024-01-31,-0.005898195,-0.004717688,-0.008765454,-0.016509734,-0.010295393,-0.003347988,0.003590543,0.000136190
2024-02-01,0.013193316,0.002376343,0.006804356,0.015373132,0.007371349,-0.000362351,0.006594829,0.000135230
2024-02-02,0.004791026,-0.005056420,-0.001285131,0.005135420,0.004681496,-0.002021077,-0.008427410,0.000135650
2024-02-05,-0.000317130,-0.000449179,-0.010150972,0.001063850,-0.014132417,-0.001285773,-0.007343273,0.000406560
