PerformanceDate,E-EM,E-GSC,E-CLC,E-US,E-CSC,E-IE,D-CB,A-CMM
2019-03-29,12.0446,15.3793,68.7679,52.3574,74.5382,57.902,12.2935,10
2019-04-01,12.1191,15.488,69.4226,52.8689,75.393,58.3113,12.237,10
2019-04-02,12.1068,15.4773,69.5393,52.9117,75.4817,58.3294,12.2608,10
2019-04-03,12.1108,15.6492,69.569,52.9358,75.6674,58.8682,12.2385,10
2019-04-04,12.1006,15.6555,69.5387,53.0753,75.3849,58.7393,12.2515,10
2019-04-05,12.1848,15.6829,69.8207,53.2998,75.581,59.0074,12.2536,10
2019-04-08,12.1769,15.6583,69.8272,53.0732,75.454,58.722,12.2258,10
2019-04-09,12.2147,15.6087,69.5608,52.8602,75.2621,58.523,12.2237,10
2019-04-10,12.2447,15.6418,69.7575,53.0349,75.3737,58.6369,12.2489,10
2019-04-11,12.2121,15.7509,69.8449,53.318,74.882,58.9566,12.2227,10
2019-04-12,12.1901,15.7903,70.1965,53.5052,75.0437,58.79,12.1902,10
2019-04-15,12.2572,15.8832,70.374,53.7489,74.9249,59.293,12.2142,10
2019-04-16,12.2445,15.8813,70.3607,53.6547,74.6791,59.3953,12.1876,10
2019-04-17,12.2709,15.8444,70.6037,53.462,74.656,59.1716,12.1774,10
2019-04-18,12.2622,15.8364,70.8457,53.7109,74.9077,59.2447,12.2165,10
2019-04-22,12.2126,15.8147,70.5805,53.585,74.8674,59.1041,12.2016,10
2019-04-23,12.2996,15.8729,70.9569,54.0794,74.9308,59.6117,12.2358,10
2019-04-24,12.2833,15.9648,70.6614,54.2498,75.0908,59.6688,12.2989,10
2019-04-25,12.231,15.8882,70.779,54.4301,75.4055,59.5544,12.2835,10
2019-04-26,12.1737,15.9324,70.7585,54.6755,75.3526,59.7184,12.2963,10
2019-04-29,12.2274,15.97,70.8775,54.6201,75.4373,59.7467,12.2749,10
2019-04-30,12.2302,16.0155,70.9685,54.663,75.4122,59.9656,12.2579,10
2019-05-01,12.2236,16.064,70.7547,53.9624,75.2823,59.9716,12.2726,10
2019-05-02,12.273,16.0407,70.4014,54.1682,74.8003,59.789,12.2194,10
2019-05-03,12.2899,16.0797,70.641,54.5457,75.3037,59.8631,12.2174,10
2019-05-06,12.1294,15.978,70.5465,54.5569,75.0927,59.5869,12.2463,10
2019-05-07,12.1555,15.8994,69.9331,53.8676,74.9899,59.0695,12.2867,10
2019-05-08,12.083,15.8666,70.1751,53.783,75.3106,59.1814,12.2759,10
2019-05-09,11.9487,15.7439,69.9029,53.8647,75.5504,58.4309,12.2904,10
2019-05-10,11.9912,15.8187,69.99,53.9548,76.0133,58.4453,12.2621,10
2019-05-13,11.8254,15.6917,69.4126,53.0983,75.5358,58.0177,12.314,10
2019-05-14,11.7718,15.7966,69.8618,53.4495,75.9557,58.2479,12.2957,10
2019-05-15,11.7975,15.8427,70.0583,53.5389,76.1874,58.4142,12.3236,10
2019-05-16,11.7871,15.9072,70.7208,54.146,76.8133,58.8214,12.3163,10
2019-05-17,11.723,15.9401,70.3912,54.0991,76.9986,58.7681,12.3078,10
2019-05-21,11.6767,15.8664,70.5599,54.0618,77.2586,58.3575,12.2586,10
2019-05-22,11.7096,15.8823,70.4004,54.0563,77.3017,58.5951,12.2779,10
2019-05-23,11.6163,15.7599,69.8508,53.7035,76.9077,58.2813,12.3459,10
2019-05-24,11.6281,15.8311,70.1547,53.7894,77.1174,58.5547,12.3683,10
2019-05-27,11.6514,15.8112,70.6836,53.7217,77.4464,58.5147,12.3898,10
2019-05-28,11.7213,15.8966,70.4788,53.5527,77.4373,58.656,12.4107,10
2019-05-29,11.7077,15.779,69.8084,53.4519,76.8201,57.9702,12.4069,10
2019-05-30,11.7432,15.7771,69.71,53.5087,77.082,58.3186,12.4238,10
2019-05-31,11.773,15.7553,69.3171,52.98,76.7196,58.0602,12.4352,10
2019-06-03,11.8283,15.7099,69.2789,52.6505,76.7218,58.272,12.4953,10
2019-06-04,11.8227,15.7563,69.7831,53.3958,77.3517,58.2381,12.4682,10
2019-06-05,11.8323,15.8742,70.0827,54.0206,77.3113,58.7616,12.4866,10
2019-06-06,11.7985,15.8982,70.1583,54.1692,77.5613,58.7768,12.4716,10
2019-06-07,11.7463,15.9663,70.1704,54.409,77.9151,59.0224,12.4871,10
2019-06-10,11.8563,15.9971,70.036,54.5595,78.3974,58.9976,12.4457,10
2019-06-11,11.9541,16.0841,70.1406,54.4602,78.6862,59.4746,12.4361,10
2019-06-12,11.9,16.107,70.175,54.5137,78.7537,59.4567,12.4627,10
2019-06-13,11.9109,16.1383,69.9843,54.7097,78.6581,59.419,12.501,10
2019-06-14,11.8947,16.0335,70.2371,54.8208,78.9049,59.3574,12.515,10
2019-06-17,11.9063,16.0576,70.4254,54.7119,79.2038,59.3916,12.5256,10
2019-06-18,12.0247,16.1551,71.0435,55.1048,79.5058,59.9845,12.5518,10
2019-06-19,12.1044,16.139,71.0853,55.2413,79.6688,60.1615,12.5525,10
2019-06-20,12.105,16.0846,71.1103,55.1283,79.5278,60.0539,12.5516,10
2019-06-21,12.1204,16.107,70.8174,55.0617,79.2739,60.0258,12.5199,10
2019-06-24,12.1161,16.1467,70.6607,54.9706,78.9733,60.4015,12.545,10
2019-06-25,12.0084,16.0647,70.1006,54.4313,78.3266,60.1793,12.5598,10
2019-06-26,11.9795,15.9589,69.7651,53.806,77.9794,59.6687,12.5114,10
2019-06-27,12.0411,16.016,69.8403,54.143,78.399,59.6252,12.538,10
2019-06-28,12.0776,16.0724,70.1424,54.5432,78.6887,59.6726,12.5264,10
2019-07-02,12.1739,16.1068,70.6247,55.4308,79.0398,60.3122,12.5316,10
2019-07-03,12.0985,16.1204,71.0577,55.6987,79.3379,60.3249,12.5543,10
2019-07-04,12.1538,16.1,71.2928,55.6201,79.6948,60.3254,12.5387,10
2019-07-05,12.164,15.9976,71.1504,55.7428,79.6231,59.799,12.4517,10
2019-07-08,12.0129,15.8807,70.8458,55.3407,79.3481,59.5121,12.4462,10
2019-07-09,11.9968,15.8467,71.0899,55.5405,79.1404,59.3768,12.4596,10
2019-07-10,12.0307,15.8443,70.9604,55.665,79.1665,59.3751,12.4606,10
2019-07-11,12.1006,15.9004,70.909,55.7954,78.9835,59.272,12.4218,10
2019-07-12,12.092,15.9471,70.7625,55.912,79.2878,59.0818,12.4364,10
2019-07-15,12.1245,15.9598,70.9066,55.9528,79.615,59.5071,12.4552,10
2019-07-16,12.1154,15.9196,70.8574,55.7881,79.115,59.4823,12.448,10
2019-07-17,12.0764,15.9401,70.5601,55.3992,78.9136,59.4911,12.5026,10
2019-07-18,12.0994,15.9368,70.5525,55.8767,78.8382,59.4298,12.5208,10
2019-07-19,12.1245,15.9986,70.4063,55.4697,78.9747,59.5674,12.5254,10
2019-07-22,12.1224,16.0136,70.5655,55.7292,79.0108,59.4825,12.5426,10
2019-07-23,12.1333,16.0165,70.9063,56.2305,79.37,59.7032,12.5368,10
2019-07-24,12.1252,16.0638,71.1466,56.3227,80.1343,59.7025,12.5727,10
2019-07-25,12.1213,16.0272,70.8359,56.2979,80.1952,59.5374,12.5575,10
2019-07-26,12.109,16.0942,71.1837,57.0845,80.4958,59.6293,12.5481,10
2019-07-29,12.0623,15.9946,70.8945,56.8386,80.1588,59.4086,12.5395,10
2019-07-30,12.0475,15.9232,70.8352,56.7528,79.7215,59.0829,12.5286,10
2019-07-31,12.0277,15.9701,70.7403,55.9122,79.9303,58.738,12.5157,10
2019-08-01,11.9095,15.9736,70.6458,55.9852,79.8645,59.0812,12.5926,10
2019-08-02,11.7087,15.8298,70.2067,55.7629,79.5585,58.2238,12.5983,10
2019-08-06,11.4754,15.6802,69.5043,55.2382,79.1728,56.9794,12.7139,10
2019-08-07,11.5749,15.8504,69.9057,55.6991,79.0848,57.7586,12.7271,10
2019-08-08,11.6568,15.867,70.7778,56.4101,80.0272,58.0416,12.7053,10
2019-08-09,11.6013,15.749,70.5947,56.0613,80.7773,57.9001,12.6739,10
2019-08-12,11.5454,15.6765,70.0212,55.4342,80.2849,57.7018,12.7395,10
2019-08-13,11.4607,15.6668,70.4898,56.1514,80.5186,57.3909,12.7178,10
2019-08-14,11.5327,15.6287,69.3517,55.1152,79.567,57.0291,12.7909,10
2019-08-15,11.5117,15.5573,69.2499,55.3427,79.1489,56.7824,12.8516,10
2019-08-16,11.5667,15.6693,69.9211,55.8654,79.8352,57.0873,12.8043,10
2019-08-19,11.6113,15.8097,70.6341,56.6107,80.5763,57.7157,12.7564,10
2019-08-20,11.586,15.8083,69.9249,56.3229,80.366,57.478,12.7723,10
2019-08-21,11.6281,15.8936,70.5203,56.5743,80.5799,57.7908,12.7138,10
2019-08-22,11.537,15.8884,70.2775,56.5847,80.6243,57.4308,12.6515,10
2019-08-23,11.539,15.9288,69.0841,55.404,79.8866,57.6035,12.7415,10
2019-08-26,11.3833,15.7633,69.415,55.7722,80.0994,57.2018,12.7109,10
2019-08-27,11.4312,15.8359,69.6309,55.8422,79.9447,57.4915,12.7893,10
2019-08-28,11.4628,15.8461,69.8981,56.2075,80.0434,57.146,12.8014,10
2019-08-29,11.5156,15.8539,70.6293,56.8091,80.4436,57.4989,12.7786,10
2019-08-30,11.6175,15.8921,70.8533,56.8587,81.0284,57.7824,12.7263,10
2019-09-03,11.533,15.9337,70.5448,56.5791,80.7565,57.9619,12.7544,10
2019-09-04,11.637,15.9649,70.723,56.8377,81.0114,58.311,12.7546,10
2019-09-05,11.7339,16.0599,71.6255,57.5908,82.0108,58.5435,12.6406,10
2019-09-06,11.7097,15.997,71.7079,57.3522,81.8571,58.6186,12.6356,10
2019-09-09,11.6995,15.9417,71.5598,56.7948,81.9744,58.3545,12.5883,10
2019-09-10,11.6675,15.7775,71.6927,56.328,81.9481,57.9362,12.5148,10
2019-09-11,11.7209,15.8649,71.9206,56.8924,82.1094,58.4576,12.5114,10
2019-09-12,11.8007,15.9537,72.1798,57.3685,82.0785,58.9687,12.4813,10
2019-09-13,11.9122,16.1238,72.2826,57.6178,82.3579,59.2258,12.4395,10
2019-09-16,11.8542,16.0312,72.5271,57.1899,81.97,58.5659,12.4746,10
2019-09-17,11.7822,16.1595,72.6814,57.5631,82.0986,59.1302,12.5107,10
2019-09-18,11.8423,16.1842,72.5992,57.7366,81.8267,59.167,12.5408,10
2019-09-19,11.7572,16.2004,72.7493,57.7217,82.0116,59.2085,12.5549,10
2019-09-20,11.828,16.2106,72.7327,57.4857,82.1444,59.1653,12.5954,10
2019-09-23,11.8015,16.155,72.4232,57.4503,82.1472,58.9917,12.6192,10
2019-09-24,11.7338,16.1162,72.1817,57.0335,81.9397,59.1231,12.6703,10
2019-09-25,11.7203,16.0149,72.2119,57.5083,81.8381,58.4866,12.5859,10
2019-09-26,11.7633,16.0259,72.4157,57.4446,81.9993,58.7675,12.6109,10
2019-09-27,11.7058,15.9992,72.0801,56.9798,81.7852,58.7736,12.6122,10
2019-09-30,11.6983,15.9652,72.1628,57.1764,81.9597,58.7092,12.5867,10
2019-10-01,11.6839,15.9672,71.4011,56.5099,81.1011,58.2993,12.6098,10
2019-10-02,11.6674,15.8699,70.7293,55.9394,80.572,57.5547,12.6318,10
2019-10-03,11.684,15.8648,70.9072,56.3358,80.8653,57.5941,12.6978,10
2019-10-04,11.7252,15.9922,71.1,57.2409,81.206,58.0869,12.7108,10
2019-10-07,11.6732,15.9851,71.045,56.817,81.1648,58.2697,12.6544,10
2019-10-08,11.7113,15.8933,70.3552,56.0079,80.8113,57.8341,12.6584,10
2019-10-09,11.6997,15.8675,70.8507,56.5051,80.9374,57.958,12.6205,10
2019-10-10,11.6652,15.8978,71.101,56.606,81.2503,58.0552,12.5509,10
2019-10-11,11.6833,16.0534,71.2407,56.6159,81.2902,58.5965,12.4678,10
2019-10-15,11.7492,16.1844,71.3363,56.9759,81.5346,58.9691,12.4405,10
2019-10-16,11.7706,16.2012,71.3116,56.9168,81.413,59.0046,12.447,10
2019-10-17,11.7685,16.2439,71.1565,56.8901,81.7221,58.7939,12.4416,10
2019-10-18,11.7455,16.2729,70.8856,56.7569,81.2671,58.6144,12.4624,10
2019-10-21,11.6425,16.2951,71.1518,56.8243,81.8516,58.594,12.452,10
2019-10-22,11.6861,16.2554,71.0143,56.3631,82.0009,58.5703,12.4899,10
2019-10-23,11.6678,16.1268,70.5002,56.3918,81.5615,58.4169,12.4959,10
2019-10-24,11.6825,16.12,70.5729,56.4701,81.3494,58.4823,12.4839,10
2019-10-25,11.6637,16.0947,70.7611,56.3671,81.0336,58.4581,12.4575,10
2019-10-28,11.7809,16.1538,70.8946,56.6373,81.1052,58.7881,12.3857,10
2019-10-29,11.7698,16.2158,70.9802,56.8269,81.0383,58.8964,12.4013,10
2019-10-30,11.8379,16.3841,71.4262,57.4919,81.4825,59.835,12.5211,10
2019-10-31,11.8301,16.3235,71.2517,57.0899,81.7706,59.802,12.5334,10
2019-11-01,11.9087,16.4733,71.7909,57.4048,81.919,60.065,12.5148,10
2019-11-04,12.0189,16.4695,72.1542,57.1883,82.3677,60.2231,12.4454,10
2019-11-05,12.0876,16.4906,72.2659,57.1249,82.531,60.3162,12.386,10
2019-11-06,12.0669,16.4983,72.3834,57.2977,82.7971,60.7047,12.447,10
2019-11-07,12.073,16.5135,73.0236,57.2944,83.3399,60.541,12.3963,10
2019-11-08,12.0042,16.519,73.1925,57.5256,83.2163,60.5115,12.4145,10
2019-11-11,11.9106,16.5963,73.309,57.4971,83.4716,60.4182,12.4174,10
2019-11-12,11.919,16.5815,73.2935,57.7511,83.6427,60.6547,12.4119,10
2019-11-13,11.8685,16.6285,73.6275,57.9792,83.4224,60.6946,12.4553,10
2019-11-14,11.8671,16.684,73.7129,58.2408,84.1786,60.5374,12.5229,10
2019-11-15,11.9253,16.7611,74.0252,58.4261,84.5179,60.7521,12.5227,10
2019-11-18,11.913,16.7587,74.1078,58.3522,84.4408,60.8828,12.5298,10
2019-11-19,11.9286,16.7566,74.0013,58.7816,84.3429,61.2101,12.5728,10
2019-11-20,11.9342,16.8644,73.8739,59.0201,84.5891,61.3515,12.6029,10
2019-11-21,11.86,16.7911,73.8188,58.7168,84.5126,60.7933,12.5579,10
2019-11-22,11.8682,16.8063,73.7245,58.918,84.9365,61.0492,12.5648,10
2019-11-25,11.9712,16.9428,74.2012,59.3145,85.4109,61.6286,12.5689,10
2019-11-26,11.9125,17.0281,74.2723,59.4959,85.2504,61.6428,12.6061,10
2019-11-27,12.0198,17.1276,74.3461,59.7269,85.7544,61.7826,12.5736,10
2019-11-28,11.9628,17.1152,74.4259,59.736,85.8363,61.7185,12.5822,10
2019-11-29,11.9414,17.0924,74.0457,59.5698,85.7244,61.55,12.5712,10
2019-12-02,11.9433,17.064,73.721,59.2058,85.5174,61.2538,12.5187,10
2019-12-03,11.9102,17.0617,73.1406,58.9691,85.1166,61.0404,12.5784,10
2019-12-04,11.8595,17.0566,73.3702,58.9557,85.2502,60.949,12.5065,10
2019-12-05,11.8657,17.0977,73.3312,59.0224,85.1625,61.0172,12.4502,10
